CBM3_raw_column_name,RRDB_column_name
RunID,
c1,
c2,
c3,
c4,
c5,
c6,
c7,
c8,
c9,
c10,
,PoolIndID
TimeStep,TimeStep
SPUID,SPUID
,UserDefdClassSetID
VeryFastCAG,VFastAG
VeryFastCBG,VFastBG
FastCAG,FastAG
FastCBG,FastBG
MediumC,Medium
SlowCAG,SlowAG
SlowCBG,SlowBG
SWSSnagC,SWStemSnag
SWBSnagC,SWBranchSnag
HWSSnagC,HWStemSnag
HWBSnagC,HWBranchSnag
BlackC,BlackCarbon
PeatC,Peat
UNFCCC_ForestType,LandClassID
KP33_34,kf2
UNFCCC_Year,kf3
KF33_Year,kf4
KFProjectType,kf5
KFProjectID,kf6
SWMerchC,SW_Merch
SWFoliageC,SW_Foliage
SWOtherC,SW_Other
SWSubmerchC,SW_subMerch
SWCoarseRootC,SW_Coarse
SWFineRootC,SW_Fine
HWMerchC,HW_Merch
HWFoliageC,HW_Foliage
HWOtherC,HW_Other
HWSubmerchC,HW_subMerch
HWCoarseRootC,HW_Coarse
HWFineRootC,HW_Fine
